,artist,type,country,id,followers,imgUrl,genres,popularity
8200,DaVionne,,,0kQVtbYXplOdbRNlQ3RBOE,4636,https://i.scdn.co/image/ab6761610000e5eb9746427951b8a3edee297adc,,37
8201,Rajaton,group,FI,3ZfVp9mvvJt4Zly7lxgcaR,10927,https://i.scdn.co/image/ab6761610000e5ebde96524bd2e3743cd8ef3a54,"finnish folk,musiikkia lapsille,",31
8202,Amine,person,MA,3Gm5F95VdRxW3mqCn8RPBJ,1839748,https://i.scdn.co/image/ab6761610000e5eb1f98760ed5b47b21eaf56e8f,"hip hop,pop,portland hip hop,rap,viral rap,",70
8203,71 Digits,person,CA,7rYojRyXBLPrX6UWfnAkaC,5696,https://i.scdn.co/image/ab6761610000e5eb37068b5d14adac66cff7192f,,62
8204,Sukh-E Muzical Doctorz,person,,0yniDkE5y7ci4X9OtLBXaQ,1675143,https://i.scdn.co/image/ab6761610000e5ebe87f53e256b1cc56898f28f7,"desi pop,punjabi pop,",61
8205,Karl-Erik Taukar,person,EE,0IBo1QzwnBeD4N8WS5aD5X,19423,https://i.scdn.co/image/ab6761610000e5ebcf6e8b70eb25a68290f3fbde,"estonian pop,estonian rock,",36
8206,Fyfe,person,GB,1xkxEEm60IyknT2Eh469mX,45008,https://i.scdn.co/image/ab6761610000e5ebb7fd836a65c6add4a8ba8187,"vapor pop,vapor soul,",39
8207,Cœur De Pirate,person,CA,2eRNMtoi82UZUuaL6naDjA,467282,https://i.scdn.co/image/ab6761610000e5ebbad6432305c3a35f97de7876,"chanson,french pop,nouvelle chanson francaise,",59
8208,Mørland,person,NO,5yHx5IUWn7p8cOjFQTdknJ,3121,https://i.scdn.co/image/ab6761610000e5eb7a56bc9dd6030015c51f0130,,28
8209,Kuqe,person,PL,2FtYzWBUVhZ2vfy8S207Zf,13419,https://i.scdn.co/image/ab6761610000e5eb27d6842bf7fd3b72c4467680,"polish hip hop,",66
8210,Birdy Nam Nam,group,FR,4e7qJTThm5uI3CplqZObfT,123925,https://i.scdn.co/image/ab6761610000e5eba905450ea45b7932413ef9ff,"electro house,electronica,filter house,new french touch,new rave,turntablism,",52
8211,Lord Flacko,person,,5XJdV8h0NLbf3CZdfwX3lg,1372,NaN,,50
8212,Smuggler,,,0brXIqiS2RuhcFnwLqMx9p,421,https://i.scdn.co/image/ab67616d0000b2731aded4e56e92661ef849bf7c,,41
8213,Ruelle,person,,5tIkXJTex4JY7cv9mmgAZx,545031,https://i.scdn.co/image/ab6761610000e5eb6678ad7e8fda07f70558b68f,"electropop,indie poptimism,metropopolis,pop,",65
8214,LD,,GB,5hkcGbdTv8nC62vVT7RJmZ,207923,https://i.scdn.co/image/ab6761610000e5eb880a4292eb9cd820f8ffc9f5,"corrido,corridos tumbados,nueva musica mexicana,sad sierreno,sierreno,",62
8215,Samy Ceezy,,,684KBHFriV9wFm6d2W79ee,279,NaN,,18
8216,Jason Anousheh,person,DE,7fyvTBltl99vVvX2qDQjwC,1017,https://i.scdn.co/image/ab6761610000e5eb374d5112d151b94c075f60b6,,29
